goods_no,카테고리,brand,name,주요사양,sale_price,구성품수,성분수,커버리지%,효능태그,고시기능성성분,표기함량,향료,알레르기유발착향,공인근거비율%,보습,유연,밀폐보습,장벽강화,진정,항산화,미백,주름개선,피지조절,피지흡착,여드름,각질제거,자외선차단,재생,탄력,코메도점수,코메도성분,에센셜오일,무향판정
A000000204879,선크림,토코보,[진정선세럼/저자극] 토코보 시카 카밍 선세럼 50mL SPF50+ PA++++,모든 피부용.,16800,1,39,100,유연|자외선차단|미백|진정|항산화|보습|피지조절|밀폐보습|장벽강화|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,Y,0,95,5,7,2,1,6,8,2,1,1,0,0,0,10,0,0,0,,0,N
A000000205069,선크림,오휘,오휘 데이쉴드 선퀴드 50ml,모든피부용,36000,1,42,95,피지조절|자외선차단|보습|장벽강화|밀폐보습|유연|주름개선|항산화,"자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:에칠헥실살리실레이트, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:페닐벤즈이미다졸설포닉애씨드, 주름개선:아데노신",,Y,2,88,8,3,4,5,0,1,0,1,3,0,0,0,12,0,0,0,,0,N
A000000205615,선크림,로벡틴,[투명광채/화잘먹] 로벡틴 카밍 연꽃수 선크림 35ml 1+1 기획,모든 피부 타입,23100,1,42,100,유연|자외선차단|미백|밀폐보습|보습|항산화|피지흡착|장벽강화|진정|주름개선|피지조절,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,N,0,95,3,8,2,3,6,7,3,1,1,1,0,0,11,0,0,0,,0,Y
A000000205628,선크림,에딧비,[진정/수분광채] 에딧비 선데이 시카 선세럼 55ml [SPF50+ PA++++],모든 피부 타입,17500,1,44,100,유연|자외선차단|보습|장벽강화|미백|항산화|밀폐보습|주름개선|진정,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:이소아밀p-메톡시신나메이트, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 주름개선:아데노신",병풀추출물 10ppm,Y,0,93,11,8,2,3,9,10,3,1,0,0,0,0,11,0,0,0,,0,N
A000000206121,선크림,셀퓨전씨,[톤결맞춤커버/화잘먹선베이스] 셀퓨전씨 톤업 선 베이스 SPF50+/PA++++ 40ml (4 colors),모든 피부용,18900,1,59,100,유연|자외선차단|미백|보습|밀폐보습|항산화|진정|장벽강화|피지흡착|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:티타늄디옥사이드, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,N,1,92,11,15,4,1,1,2,2,1,0,1,0,0,9,0,0,1,리놀레닉애씨드,1,N
A000000206175,선크림,라타플랑,[모공보정/무기자차] 라타플랑 미나리 시카진정 포어리스 선크림,모든 피부용.,22500,1,57,100,장벽강화|자외선차단|유연|밀폐보습|미백|진정|항산화|보습|주름개선,"미백:나이아신아마이드, 자외선차단:징크옥사이드, 주름개선:아데노신",미나리추출물 0.015%,N,1,95,9,11,8,6,8,9,2,1,0,0,0,0,3,0,0,0,,4,N
A000000206742,선크림,키스,[화잘먹 투명선케어] KEYTH키스 핑크데저트 선세럼50ml SPF50 PA++++,모든 피부,22400,1,40,100,유연|자외선차단|피지조절|미백|피지흡착|보습|밀폐보습|진정|장벽강화|항산화|주름개선|각질제거,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:이소아밀p-메톡시신나메이트, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,Y,1,98,2,12,3,4,2,5,2,1,2,5,0,1,10,0,0,0,,0,N
A000000206749,선크림,허블룸,허블룸 카밍 데이즈 비건 선스크린 50ml,모든 피부 타입,19600,1,50,100,유연|자외선차단|미백|보습|장벽강화|밀폐보습|진정|항산화|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:에칠헥실트리아존, 주름개선:아데노신",,N,0,90,8,9,3,1,3,5,2,1,0,0,0,0,6,0,0,0,,6,N
A000000206750,선크림,허블룸,허블룸 데일리 톤업 비건 선스크린 50ml,모든 피부 타입,19600,1,50,100,유연|자외선차단|미백|보습|장벽강화|밀폐보습|진정|항산화|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:에칠헥실트리아존, 주름개선:아데노신",,N,0,90,8,9,3,1,3,5,2,1,0,0,0,0,6,0,0,0,,6,N
A000000207140,선크림,피지오겔,피지오겔 레드수딩 AI 글로우업 썬스크린 30ml,모든피부용.,28000,1,36,100,자외선차단|피지조절|밀폐보습|장벽강화|유연|보습|미백|피지흡착|진정|항산화,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실메톡시신나메이트, 자외선차단:에칠헥실살리실레이트, 자외선차단:티타늄디옥사이드, 자외선차단:페닐벤즈이미다졸설포닉애씨드",병풀잎추출물 6ppm,N,0,94,4,5,3,5,1,1,2,0,3,2,0,0,11,0,0,0,,1,N
A000000207202,선크림,믹순,믹순 병풀 선크림 50ml,모든 피부 타입,25000,1,31,100,유연|피지조절|자외선차단|보습|장벽강화|밀폐보습|진정|항산화,"자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:폴리실리콘-15",병풀추출물 0.097%,N,2,94,3,7,2,2,1,1,0,0,3,0,0,0,9,0,0,0,,1,N
A000000207901,선크림,아누아,[오선우pick/리뉴얼] 아누아 어성초 실키 모이스처 선크림 50ml 더블 기획,모든 피부 사용,24500,1,41,100,유연|자외선차단|보습|장벽강화|미백|밀폐보습|진정|항산화|피지조절|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,N,0,90,6,8,3,3,6,9,2,1,2,0,0,0,9,0,0,0,,0,Y
A000000208192,선크림,아이레시피,[비건 무기자차] 아이레시피 마일드 히알루로닉 모이스트 업 선밀크 50ml,모든 피부 타입,18000,1,37,100,장벽강화|자외선차단|피지조절|유연|밀폐보습|보습|피지흡착|진정|항산화,"자외선차단:징크옥사이드, 자외선차단:티타늄디옥사이드",향료 0.12%,Y,0,92,8,15,6,7,1,1,0,0,3,1,0,0,5,0,0,0,,0,N
A000000208692,선크림,아이오페,[남성 전용 선크림] 아이오페 맨 컴파운드 선스크린 50ml,태양으로부터 자극받은 피부에 쿨링감을 주며 가벼우면서 끈적이지 않는 남성 선,19600,1,39,100,보습|장벽강화|자외선차단|유연|미백|피지흡착|항산화|밀폐보습,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실살리실레이트, 자외선차단:티타늄디옥사이드, 자외선차단:폴리실리콘-15, 자외선차단:호모살레이트",,Y,0,95,4,7,1,3,0,2,2,0,0,2,0,0,14,0,0,2,미리스틱애씨드;라우릭애씨드,0,N
A000000208711,선크림,에끌라두,에끌라두 UV 오일프리 선크림 SPF50+ PA++++ 70g,"모든 피부 사용 (쿠퍼로즈피부, 극예민피부 주의해서 사용)",36000,1,43,100,자외선차단|유연|밀폐보습|진정|항산화|장벽강화|보습|피지흡착,"자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실메톡시신나메이트, 자외선차단:에칠헥실트리아존, 자외선차단:티타늄디옥사이드",,N,0,93,6,8,3,5,5,6,0,0,0,1,0,0,11,0,0,0,,0,Y
A000000208714,선크림,에끌라두,에끌라두 UV 톤업 커버 선크림 SPF50+/PA++++ 70g,"모든 피부 사용 (쿠퍼로즈피부, 극예민피부 주의해서 사용)",36000,1,41,100,유연|장벽강화|자외선차단|밀폐보습|미백|보습|주름개선|항산화|진정|피지조절,"미백:나이아신아마이드, 자외선차단:징크옥사이드, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,N,0,90,5,9,5,5,1,6,2,1,1,0,0,0,5,0,0,0,,5,N
A000000208731,선크림,스콧해미쉬,스콧해미쉬 클래식 골프 선크림 (SPF 50+ PA++++) 40ml,모든피부,21000,1,45,100,유연|자외선차단|미백|밀폐보습|보습|장벽강화|진정|항산화|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:에칠헥실트리아존, 주름개선:아데노신",,Y,3,93,6,8,4,5,5,8,2,1,0,0,0,0,7,0,0,0,,0,N
A000000208899,선크림,러븀,러븀 대나무 히알루론산 수분 선크림 50ml,모든 피부타입,18900,1,30,100,유연|밀폐보습|장벽강화|자외선차단|보습|피지조절|항산화|진정,"자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실메톡시신나메이트, 자외선차단:에칠헥실살리실레이트, 자외선차단:징크옥사이드, 자외선차단:티타늄디옥사이드",,N,0,93,3,12,4,9,1,4,0,0,1,0,0,0,11,0,0,0,,0,Y
A000000210163,선크림,피토메르,피토메르 선 베리어 모이스처라이징 프로텍티브 선스크린 50ml 더블 기획,모든 피부용,55800,1,48,100,유연|자외선차단|미백|보습|장벽강화|피지조절|밀폐보습|진정|항산화|주름개선|피지흡착,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:티타늄디옥사이드, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,Y,0,92,4,14,4,2,3,4,2,1,2,2,0,0,9,0,0,0,,0,N
A000000210322,선크림,벤튼,[수분 선크림] 벤튼 시카 수분 선세럼 SPF50+/PA++++ 50mL,모든 피부 타입,18900,1,61,98,유연|자외선차단|피지흡착|밀폐보습|보습|장벽강화|진정|미백|항산화|각질제거,"자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:에칠헥실트리아존",병풀추출물 0.01%,N,0,84,13,11,5,4,6,8,1,0,0,3,0,1,7,0,0,0,,0,Y
A000000210324,선크림,벤튼,[톤업무기자차] 벤튼 스킨핏 미네랄 선크림 SPF50+/PA++++ 50mL,모든 피부 타입,14200,1,35,100,장벽강화|자외선차단|유연|밀폐보습|미백|진정|항산화|피지흡착|보습|주름개선,"미백:나이아신아마이드, 자외선차단:징크옥사이드, 주름개선:아데노신",,N,0,91,3,10,4,5,2,4,3,1,0,1,0,0,3,0,0,0,,1,N
A000000210325,선크림,가히,[맑은피부/내추럴톤업] 가히 워터 홀딩 톤업 선세럼 50ml,모든 피부 타입,36000,1,50,98,유연|자외선차단|미백|보습|장벽강화|밀폐보습|진정|항산화|주름개선|피지흡착|피지조절,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:에칠헥실트리아존, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,Y,0,90,5,9,2,4,1,3,2,1,1,1,0,0,11,0,0,0,,0,N
A000000210326,선크림,가히,[수분자차/촉촉산뜻] 가히 아쿠아 쉴드 선로션 50ml,모든 피부 타입,36000,1,41,98,유연|자외선차단|미백|보습|피지흡착|밀폐보습|주름개선|장벽강화|항산화|피지조절,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:에칠헥실트리아존, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,Y,0,93,6,7,3,2,0,2,2,1,1,2,0,0,11,0,0,0,,0,N
A000000210559,선크림,VT,VT 시카 선 에센스 100ml,모든피부타입,27000,1,66,100,유연|보습|장벽강화|자외선차단|미백|피지흡착|밀폐보습|항산화|주름개선|진정|각질제거|피지조절|탄력|재생,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,Y,0,92,14,11,1,7,10,15,3,3,2,2,0,1,11,2,2,0,,0,N
A000000210660,선크림,설화수,설화수맨 본윤선크림 50ml,모든 피부,36000,1,48,100,자외선차단|보습|장벽강화|피지흡착|유연|주름개선|진정|항산화|밀폐보습,"자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실메톡시신나메이트, 자외선차단:에칠헥실살리실레이트, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 주름개선:아데노신",,Y,3,92,6,8,1,4,6,8,0,1,0,2,0,0,12,0,0,2,미리스틱애씨드;라우릭애씨드,0,N
A000000210758,선크림,스킨1004,[쿨링] 스킨1004 마다가스카르 센텔라 티트리카 수딩 선 밀크 50ml,모든 피부용,21000,1,52,100,유연|자외선차단|미백|밀폐보습|보습|주름개선|진정|항산화|장벽강화|피지조절,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:징크옥사이드, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,N,0,87,5,11,3,4,5,7,2,1,1,0,0,0,10,0,0,0,,0,Y
A000000210911,선크림,아이오페,[저자극/이지워시/장벽회복] 아이오페 UV쉴드 선앰플 40ml 기획(+선앰플20ml+레티놀세럼10ml),"외부의 자극으로부터 약해진 피부를 자외선으로부터 강하게 보호하고, 피부 장벽을 회복 시켜주는 저자극 손상 케어 선 앰플",32000,1,37,100,유연|보습|장벽강화|자외선차단|미백|밀폐보습|주름개선|진정|항산화|탄력|재생,"미백:나이아신아마이드, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실살리실레이트, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:폴리실리콘-15, 자외선차단:호모살레이트, 주름개선:아데노신",,Y,3,95,5,6,3,4,1,2,2,2,0,0,0,0,14,1,1,1,에틸헥실팔미테이트,0,N
A000000211132,선크림,비오템,비오템 UV 디펜스 브라이트닝 라이트 밀크 SPF50+ PA++++ 30ml,모든피부,61200,1,46,100,유연|보습|장벽강화|자외선차단|피지조절|피지흡착|미백|밀폐보습|항산화|진정,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:부틸메톡시디벤조일메탄, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:티타늄디옥사이드, 자외선차단:페닐벤즈이미다졸설포닉애씨드",,Y,0,91,3,6,1,5,1,2,2,0,2,2,0,0,15,0,0,4,아이소프로필미리스테이트;미리스틱애씨드,0,N
A000000211180,선크림,부쉬맨,[씨프렌들리] 부쉬맨 히알루론산 데일리 선크림 50ml 기획 (+ 20ml),모든 피부,16900,1,37,97,유연|자외선차단|밀폐보습|보습|진정|미백|항산화,"자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드",,N,0,92,4,9,3,0,5,4,1,0,0,0,0,0,10,0,0,0,,0,Y
A000000211214,선크림,디마르3,디마르3 DX 시타 듀 아쿠아 선세럼 50ml,모든 피부,36400,1,58,100,유연|자외선차단|미백|밀폐보습|보습|장벽강화|진정|항산화|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:에칠헥실트리아존, 주름개선:아데노신",,N,0,91,4,7,4,3,6,12,2,1,0,0,0,0,7,0,0,0,,0,Y
A000000211379,선크림,빌리프,빌리프 UV프로텍터 아쿠아 밤 선 세럼 어드밴스드 50ml,모든 피부용,30800,1,67,100,자외선차단|피지조절|유연|보습|장벽강화|미백|밀폐보습|주름개선|진정|항산화,"미백:나이아신아마이드, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실메톡시신나메이트, 자외선차단:에칠헥실트리아존, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:페닐벤즈이미다졸설포닉애씨드, 주름개선:아데노신",,N,2,96,6,12,6,5,5,6,2,1,3,0,0,0,11,0,0,0,,9,N
A000000213190,선크림,커버서울,커버서울 베스티안 선스크린 SPF50+ PA++++ 50ml,모든 피부 타입,22400,1,61,100,장벽강화|자외선차단|유연|미백|밀폐보습|항산화|진정|보습|피지흡착|피지조절|주름개선,"미백:나이아신아마이드, 자외선차단:징크옥사이드, 주름개선:아데노신",,N,0,90,9,9,6,6,11,13,2,1,1,1,0,0,3,0,0,1,리놀레닉애씨드,1,N
A000000214249,선크림,엠도씨,엠도씨 선 스킨 플러스 크림 100ml 단품/기획 2종 택1,모든 피부용,37000,1,49,100,유연|자외선차단|미백|피지조절|밀폐보습|보습|주름개선|항산화,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,N,3,96,9,8,1,0,0,1,2,1,2,0,0,0,9,0,0,0,,3,N
A000000214255,선크림,키엘,[쿨링자차] 키엘 울트라 라이트 데일리 유브이 디펜스 아쿠아 젤 30ml/60ml,모든 피부 타입,56100,1,39,100,피지조절|유연|자외선차단|보습|장벽강화|밀폐보습|항산화|주름개선|진정,"자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,N,0,90,6,6,1,4,4,4,0,1,3,0,0,0,11,0,0,1,미리스틱애씨드,1,N
A000000214256,선크림,키엘,[저자극 진정 자차] 키엘 수분 진정 선크림 30ml,모든 피부 타입,37400,1,53,98,자외선차단|보습|피지조절|피지흡착|유연|장벽강화|밀폐보습|항산화|주름개선|진정,"자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실메톡시신나메이트, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,N,0,87,9,3,1,2,4,4,0,1,2,3,0,0,13,0,0,1,미리스틱애씨드,1,N
A000000214631,선크림,마몽드,[수분진정] 마몽드 카밍 샷 아줄렌 선크림 35ml,모든피부,11200,1,33,100,유연|보습|장벽강화|자외선차단|밀폐보습|미백|피지조절|항산화,"미백:나이아신아마이드, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실살리실레이트, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:폴리실리콘-15, 자외선차단:호모살레이트",구아이아줄렌 0.01%,Y,0,94,9,4,4,3,0,1,1,0,1,0,0,0,13,0,0,0,,0,N
A000000216232,선크림,더하르나이,[파데프리 광채]더하르나이 유브이아웃 톤업 선크림 50ml 1+1 기획,"모든피부용, 민감성 // 혼합자차(유기+무기)",23800,1,51,100,자외선차단|유연|장벽강화|밀폐보습|미백|피지흡착|주름개선|보습|항산화|진정|피지조절,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:에칠헥실메톡시신나메이트, 자외선차단:에칠헥실살리실레이트, 자외선차단:옥토크릴렌, 자외선차단:징크옥사이드, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,N,2,94,1,11,5,7,5,6,1,1,1,1,0,0,12,0,0,1,시어버터,1,N
A000000216855,선크림,베라모어,[화잘먹/광노화] 베라모어 브라이트닝 광채 선세럼 50ml,모든 피부,21000,1,45,100,유연|자외선차단|피지흡착|보습|미백|항산화|진정|장벽강화|밀폐보습,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실살리실레이트, 자외선차단:에칠헥실트리아존",,Y,0,91,10,8,1,3,2,4,1,0,0,2,0,0,11,0,0,0,,0,N
A000000217191,선크림,포트레,포트레 워터 베일 선크림 50ml,모든 피부용,30400,1,56,100,자외선차단|유연|미백|장벽강화|보습|피지조절|항산화|진정|밀폐보습|주름개선|피지흡착,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실살리실레이트, 자외선차단:폴리실리콘-15, 자외선차단:호모살레이트, 주름개선:아데노신",,N,0,88,8,8,6,3,4,6,2,1,1,1,0,0,13,0,0,1,시어버터,0,Y
A000000217778,선크림,달바,[레드보정썬] 달바 그린 톤업 선크림 50ml,모든 피부타입,34000,1,76,100,유연|자외선차단|보습|미백|진정|항산화|장벽강화|피지조절|밀폐보습|피지흡착|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:에칠헥실트리아존, 자외선차단:티타늄디옥사이드, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,N,3,89,16,14,4,4,5,9,2,1,2,1,0,0,8,0,0,0,,6,N
A000000217868,선크림,리얼베리어,[파데프리/모공결커버] 리얼베리어 피치 핏 톤업 선크림 50ml,모든피부용,20500,1,60,100,장벽강화|자외선차단|유연|미백|밀폐보습|피지흡착|진정|항산화|보습|주름개선|각질제거|여드름,"미백:나이아신아마이드, 여드름:살리실릭애씨드, 자외선차단:징크옥사이드, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,N,0,90,6,15,8,9,2,4,2,1,0,2,1,2,5,0,0,1,시어버터,0,Y
A000000218313,선크림,알리,[메이크업UV] 알리 크로노 뷰티 컬러 온 UV 치크 선크림 3종 (핑크/오렌지/하이라이터),모든피부용,14700,1,41,100,피지조절|장벽강화|자외선차단|유연|보습|밀폐보습|피지흡착,"자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:징크옥사이드, 자외선차단:티타늄디옥사이드",,Y,5,90,4,11,1,8,0,0,0,0,4,3,0,0,11,0,0,0,,0,N
A000000218465,선크림,에스쁘아,에스쁘아 워터스플래쉬 선크림 톤업 래스팅 50ml,모든 피부용,15400,1,45,100,장벽강화|자외선차단|유연|밀폐보습|보습|미백|항산화|진정|피지조절|주름개선,"미백:나이아신아마이드, 자외선차단:징크옥사이드, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,N,0,89,6,17,4,7,3,5,2,1,1,0,0,0,4,0,0,0,,0,Y
A000000218679,선크림,듀이트리,[리뉴얼/파데프리] 듀이트리 어반쉐이드 커버 앤 핏 선 40ml,모든 피부타입,13200,1,58,100,자외선차단|밀폐보습|유연|보습|장벽강화|미백|피지흡착|진정|항산화|주름개선,"미백:나이아신아마이드, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,N,0,93,7,6,8,5,7,6,2,1,0,1,0,0,3,0,0,2,에틸헥실팔미테이트;아이소프로필미리스테이트,0,Y
A000000218812,선크림,셀퓨전씨,[맑은톤밀착썬/조앤프렌즈 콜라보] 셀퓨전씨 잡티 토닝 썬스크린 35ml 더블 기획 (+10ml+조앤프렌즈 캡 키링),모든피부용,23900,1,59,100,자외선차단|유연|미백|보습|장벽강화|밀폐보습|항산화|피지흡착|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:테레프탈릴리덴디캠퍼설포닉애씨드, 자외선차단:티타늄디옥사이드, 자외선차단:폴리실리콘-15, 주름개선:아데노신",,Y,0,90,5,11,6,4,0,3,3,1,0,1,0,0,9,0,0,0,,0,N
A000000219265,선크림,코스노리,[화잘먹선세럼] 코스노리 에어리 선세럼 50ml,모든피부,22400,1,49,100,장벽강화|자외선차단|유연|밀폐보습|보습|미백|피지흡착|진정|항산화|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:징크옥사이드, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,N,3,88,5,18,6,5,3,4,1,1,0,1,0,0,7,0,0,0,,1,N
A000000219266,선크림,코스노리,[보송톤업] 코스노리 에어리 톤업 선세럼 50ml,모든피부,22400,1,55,100,장벽강화|자외선차단|유연|밀폐보습|보습|미백|피지흡착|진정|항산화|주름개선,"미백:나이아신아마이드, 자외선차단:디에칠아미노하이드록시벤조일헥실벤조에이트, 자외선차단:비스-에칠헥실옥시페놀메톡시페닐트리아진, 자외선차단:에칠헥실트리아존, 자외선차단:징크옥사이드, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,N,3,89,5,16,6,5,3,4,1,1,0,1,0,0,8,0,0,0,,1,N
